cell_type_1,cell_type_2,effect_size,p_value,mean_I_infected,mean_I_uninfected,delta_I,p_adj_fdr,significant,neg_log10_padj
CD8-Tcell_late-active,Fibroblast_mesothelial,-0.04382212486575591,0.0,-0.04382212486575591,-0.05958538418715716,0.015763259321401255,0.0,True,300.0
CD4-Tcell_TH1,CD8-Tcell_early-active,-0.04245477989420337,0.0,-0.04245477989420337,0.272587817544982,-0.3150425974391854,0.0,True,300.0
CD8-Tcell_effector,Thrombocyte,0.04188211801372471,0.0,0.04188211801372471,0.12882694500253986,-0.08694482698881514,0.0,True,300.0
CD8-Tcell_Gamma-Delta-CD8,Thrombocyte,-0.04148928484686633,0.0,-0.04148928484686633,-0.038280231267583315,-0.003209053579283014,0.0,True,300.0
CD8-Tcell_Gamma-Delta-Il4,Fibroblast_mesothelial,-0.04140263488258541,0.0,-0.04140263488258541,-0.0710091114860694,0.029606476603484,0.0,True,300.0
CD8-Tcell_Gamma-Delta-Il4,Neutrophil,0.041348197631170855,0.0,0.041348197631170855,0.056015593496583437,-0.014667395865412582,0.0,True,300.0
Bcell_plasma,CD8-Tcell_early-active,-0.0398190938066429,0.0,-0.0398190938066429,0.005002114736884699,-0.0448212085435276,0.0,True,300.0
CD4-Tcell_naive,CD8-Tcell_Gamma-Delta-Il4,0.037387373622879784,0.0,0.037387373622879784,0.4084646774512807,-0.3710773038284009,0.0,True,300.0
CD8-Tcell_terminal,NK_proliferating,-0.03609195507354676,0.0,-0.03609195507354676,0.13072924315237458,-0.16682119822592134,0.0,True,300.0
CD8-Tcell_proliferating,NK_ILC3,-0.03360929935826415,0.0,-0.03360929935826415,0.2495586833524885,-0.2831679827107526,0.0,True,300.0
CD4-Tcell_naive,CD8-Tcell_Gamma-Delta-active,0.031001682103411844,0.0,0.031001682103411844,0.22725299355747067,-0.19625131145405883,0.0,True,300.0
